,Destination_ID,Total
0,Arabia,2
1,Arabia,2
2,Armenia,1
3,Bithynia,3
4,Bithynia,3
5,Bithynia,3
6,Cappadocia,4
7,Cappadocia,4
8,Cappadocia,4
9,Cappadocia,4
10,Cilicia,4
11,Cilicia,4
12,Cilicia,4
13,Cilicia,4
14,Egypt,3
15,Egypt,3
16,Egypt,3
17,Euphratensis,5
18,Euphratensis,5
19,Euphratensis,5
20,Euphratensis,5
21,Euphratensis,5
22,Galatia,8
23,Galatia,8
24,Galatia,8
25,Galatia,8
26,Galatia,8
27,Galatia,8
28,Galatia,8
29,Galatia,8
30,Palestina Prima,1
31,Palestine,3
32,Palestine,3
33,Palestine,3
34,Phoenicia,16
35,Phoenicia,16
36,Phoenicia,16
37,Phoenicia,16
38,Phoenicia,16
39,Phoenicia,16
40,Phoenicia,16
41,Phoenicia,16
42,Phoenicia,16
43,Phoenicia,16
44,Phoenicia,16
45,Phoenicia,16
46,Phoenicia,16
47,Phoenicia,16
48,Phoenicia,16
49,Phoenicia,16
